Filename,Matching Lines,Total Lines,UAS
diva1.txt,9,32,0.28125
diva10.txt,5,19,0.2631578947368421
diva100.txt,5,17,0.29411764705882354
diva101.txt,11,35,0.3142857142857143
diva102.txt,12,29,0.41379310344827586
diva103.txt,2,14,0.14285714285714285
diva105.txt,3,19,0.15789473684210525
diva107.txt,8,19,0.42105263157894735
diva108.txt,1,26,0.038461538461538464
diva109.txt,1,26,0.038461538461538464
diva11.txt,4,20,0.2
diva110.txt,6,28,0.21428571428571427
diva112.txt,10,27,0.37037037037037035
diva113.txt,5,20,0.25
diva114.txt,6,6,1.0
diva115.txt,5,24,0.20833333333333334
diva116.txt,11,25,0.44
diva117.txt,12,25,0.48
diva118.txt,11,22,0.5
diva119.txt,0,25,0.0
diva12.txt,11,30,0.36666666666666664
diva120.txt,3,24,0.125
diva121.txt,1,21,0.047619047619047616
diva122.txt,12,27,0.4444444444444444
diva123.txt,9,26,0.34615384615384615
diva124.txt,14,32,0.4375
diva125.txt,12,26,0.46153846153846156
diva126.txt,17,37,0.4594594594594595
diva127.txt,3,21,0.14285714285714285
diva128.txt,2,14,0.14285714285714285
diva129.txt,0,1,0.0
diva13.txt,6,27,0.2222222222222222
diva130.txt,15,33,0.45454545454545453
diva131.txt,0,23,0.0
diva132.txt,3,20,0.15
diva133.txt,0,22,0.0
diva134.txt,7,50,0.14
diva137.txt,1,19,0.05263157894736842
diva138.txt,11,26,0.4230769230769231
diva139.txt,11,16,0.6875
diva143.txt,7,20,0.35
diva144.txt,8,32,0.25
diva145.txt,4,24,0.16666666666666666
diva146.txt,0,28,0.0
diva148.txt,6,28,0.21428571428571427
diva149.txt,5,28,0.17857142857142858
diva15.txt,4,29,0.13793103448275862
diva150.txt,12,22,0.5454545454545454
diva151.txt,10,28,0.35714285714285715
diva152.txt,7,28,0.25
diva153.txt,9,22,0.4090909090909091
diva154.txt,12,27,0.4444444444444444
diva16.txt,1,2,0.5
diva17.txt,5,30,0.16666666666666666
diva18.txt,9,21,0.42857142857142855
diva19.txt,13,25,0.52
diva2.txt,18,27,0.6666666666666666
diva20.txt,3,19,0.15789473684210525
diva21.txt,3,19,0.15789473684210525
diva22.txt,4,19,0.21052631578947367
diva23.txt,9,17,0.5294117647058824
diva24.txt,14,24,0.5833333333333334
diva25.txt,10,21,0.47619047619047616
diva26.txt,8,18,0.4444444444444444
diva27.txt,12,28,0.42857142857142855
diva28.txt,4,22,0.18181818181818182
diva29.txt,5,24,0.20833333333333334
diva3.txt,3,21,0.14285714285714285
diva30.txt,10,20,0.5
diva31.txt,4,25,0.16
diva32.txt,7,19,0.3684210526315789
diva33.txt,16,33,0.48484848484848486
diva34.txt,15,24,0.625
diva35.txt,9,33,0.2727272727272727
diva36.txt,6,24,0.25
diva37.txt,6,22,0.2727272727272727
diva38.txt,18,37,0.4864864864864865
diva39.txt,6,16,0.375
diva4.txt,2,20,0.1
diva40.txt,5,22,0.22727272727272727
diva41.txt,3,18,0.16666666666666666
diva42.txt,7,30,0.23333333333333334
diva43.txt,9,27,0.3333333333333333
diva44.txt,2,17,0.11764705882352941
diva45.txt,10,26,0.38461538461538464
diva46.txt,14,27,0.5185185185185185
diva47.txt,2,5,0.4
diva48.txt,8,24,0.3333333333333333
diva49.txt,12,24,0.5
diva5.txt,7,28,0.25
diva50.txt,5,23,0.21739130434782608
diva51.txt,11,20,0.55
diva52.txt,21,34,0.6176470588235294
diva53.txt,5,37,0.13513513513513514
diva54.txt,7,26,0.2692307692307692
diva55.txt,2,5,0.4
diva56.txt,8,22,0.36363636363636365
diva57.txt,5,15,0.3333333333333333
diva58.txt,7,21,0.3333333333333333
diva59.txt,1,21,0.047619047619047616
diva6.txt,14,23,0.6086956521739131
diva60.txt,4,24,0.16666666666666666
diva61.txt,9,34,0.2647058823529412
diva62.txt,10,18,0.5555555555555556
diva63.txt,11,28,0.39285714285714285
diva64.txt,16,20,0.8
diva65.txt,7,18,0.3888888888888889
diva66.txt,5,23,0.21739130434782608
diva67.txt,3,17,0.17647058823529413
diva68.txt,3,30,0.1
diva69.txt,2,9,0.2222222222222222
diva7.txt,9,18,0.5
diva70.txt,1,38,0.02631578947368421
diva71.txt,0,4,0.0
diva72.txt,3,20,0.15
diva73.txt,1,22,0.045454545454545456
diva74.txt,1,25,0.04
diva75.txt,8,16,0.5
diva76.txt,2,26,0.07692307692307693
diva77.txt,4,29,0.13793103448275862
diva78.txt,11,22,0.5
diva79.txt,4,37,0.10810810810810811
diva8.txt,2,34,0.058823529411764705
diva80.txt,13,24,0.5416666666666666
diva81.txt,4,11,0.36363636363636365
diva82.txt,0,15,0.0
diva83.txt,7,26,0.2692307692307692
diva84.txt,7,29,0.2413793103448276
diva85.txt,0,27,0.0
diva86.txt,8,32,0.25
diva87.txt,10,18,0.5555555555555556
diva88.txt,0,24,0.0
diva89.txt,8,23,0.34782608695652173
diva9.txt,2,25,0.08
diva90.txt,6,35,0.17142857142857143
diva91.txt,11,28,0.39285714285714285
diva92.txt,3,20,0.15
diva93.txt,0,28,0.0
diva94.txt,6,20,0.3
diva95.txt,6,30,0.2
diva96.txt,9,20,0.45
diva97.txt,6,24,0.25
diva98.txt,13,17,0.7647058823529411
diva99.txt,5,16,0.3125
f10.txt,13,24,0.5416666666666666
f100.txt,9,11,0.8181818181818182
f101.txt,6,21,0.2857142857142857
f102.txt,10,40,0.25
f103.txt,4,23,0.17391304347826086
f104.txt,5,21,0.23809523809523808
f105.txt,8,28,0.2857142857142857
f106.txt,2,3,0.6666666666666666
f107.txt,18,34,0.5294117647058824
f108.txt,7,20,0.35
f109.txt,0,21,0.0
f11.txt,1,18,0.05555555555555555
f110.txt,8,19,0.42105263157894735
f111.txt,7,24,0.2916666666666667
f112.txt,6,29,0.20689655172413793
f113.txt,5,5,1.0
f114.txt,9,23,0.391304347826087
f115.txt,19,26,0.7307692307692307
f116.txt,8,11,0.7272727272727273
f117.txt,4,20,0.2
f118.txt,9,26,0.34615384615384615
f119.txt,14,26,0.5384615384615384
f12.txt,12,16,0.75
f120.txt,2,3,0.6666666666666666
f121.txt,7,22,0.3181818181818182
f122.txt,6,18,0.3333333333333333
f123.txt,10,23,0.43478260869565216
f124.txt,1,23,0.043478260869565216
f125.txt,7,24,0.2916666666666667
f126.txt,9,21,0.42857142857142855
f127.txt,10,26,0.38461538461538464
f128.txt,2,18,0.1111111111111111
f129.txt,3,40,0.075
f13.txt,5,14,0.35714285714285715
f130.txt,9,21,0.42857142857142855
f131.txt,7,15,0.4666666666666667
f132.txt,6,45,0.13333333333333333
